planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
BD+20 594 b,k2,NON_HABITABLE,2.57807,501.051882863212,14.906307368403592,41.6855,0.27914853352378105,0.0,5766.0,1.08,1.67,1.1615576609188287,G,-0.9529655006193559,0.28246553222448073,False,False,4,pl_eqt;pl_insol;pl_orbeccen;pl_orbsmax,2016.0,22.2481,CONFIRMED
EPIC 201111557.01,k2,NON_HABITABLE,1.12,1054.0,252.16813537018567,2.30183,0.030720595804796448,0.0,4616.52,0.762602,0.73,0.23798494026102218,K,-1.2231510663635248,0.07090012581176158,False,False,3,pl_insol;pl_orbeccen;pl_orbsmax,2018.0,,CANDIDATE
EPIC 201126503.01,k2,NON_HABITABLE,4.19,984.313319044487,222.01009626208725,1.1947488,0.017635443067380154,0.0,3919.0,0.57,0.5126091675645542,0.06904710521146619,K,-1.2174437481370044,0.06399062121572541,False,False,5,pl_eqt;pl_insol;pl_orbeccen;pl_orbsmax;st_mass,2016.0,,CANDIDATE
EPIC 201127519.01,k2,NON_HABITABLE,8.84,772.0,89.47093011093875,6.17887,0.0600325080017341,0.0,4719.28,0.849432,0.756,0.32244446548773387,K,-1.1642347153109598,0.09008017047211445,False,False,3,pl_insol;pl_orbeccen;pl_orbsmax,2018.0,,CANDIDATE
EPIC 201164625.01,k2,NON_HABITABLE,4.34,2336.0,8891.89827764216,2.71189,0.04132294068966843,0.0,6402.0,3.16745,1.28,15.1836759194187,F,-1.295327353984077,0.008109442515080677,False,False,3,pl_insol;pl_orbeccen;pl_orbsmax,2018.0,,CANDIDATE
EPIC 201166680.01,k2,NON_HABITABLE,2.09985108,803.1367886692227,98.40051180000985,18.10549,0.14304602115769255,0.0,6213.0,1.224685,1.1912069826187786,2.0134874267700504,F,-1.1710032577306821,0.11518887653564323,False,False,5,pl_eqt;pl_insol;pl_orbeccen;pl_orbsmax;st_mass,2018.0,,CANDIDATE
EPIC 201170410.02,k2,NON_HABITABLE,1.047,458.12134632239423,10.417449208006975,6.7987,0.0349,0.0,3648.0,0.282,0.287,0.012688557309844575,M,-0.8829259090396049,0.38986995383170436,False,False,3,pl_eqt;pl_insol;pl_orbeccen,2020.0,,CONFIRMED
EPIC 201176672.01,k2,HABITABILITY_ZONE,10.2,261.2668606847161,1.101987291198706,79.9999,0.2996518989268542,0.0,4542.0,0.508,0.5608576702150743,0.09894882796528952,K,0.002975948274349464,0.5915181165853435,True,False,5,pl_eqt;pl_insol;pl_orbeccen;pl_orbsmax;st_mass,2016.0,,CANDIDATE
EPIC 201180665.01,k2,NON_HABITABLE,26.44,830.0,89.6986263988016,17.77297,0.13589865042833374,0.0,5847.0,1.25428,1.06,1.656593985709652,G,-1.164419770552639,0.05769336896612824,False,False,3,pl_insol;pl_orbeccen;pl_orbsmax,2018.0,,CANDIDATE
EPIC 201182911.01,k2,NON_HABITABLE,32.8,949.5121034337183,192.23891140270968,0.99656225,0.015035417629930947,0.0,3727.0,0.5,0.4565812497370518,0.04345825561040775,K,-1.2105389555204995,0.04061719433503265,False,False,5,pl_eqt;pl_insol;pl_orbeccen;pl_orbsmax;st_mass,2016.0,,CANDIDATE
