name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
BD+20 594 b,k2,NON_HABITABLE,2.57807,501.051882863212,14.906307368403592,41.6855,0.27914853352378105,0.0,5766.0,1.08,1.67,1.1615576609188287,G,-0.9529655006193559,4
EPIC 201111557.01,k2,NON_HABITABLE,1.12,1054.0,252.16813537018567,2.30183,0.030720595804796448,0.0,4616.52,0.762602,0.73,0.23798494026102218,K,-1.2231510663635248,3
EPIC 201126503.01,k2,NON_HABITABLE,4.19,984.313319044487,222.01009626208725,1.1947488,0.017635443067380154,0.0,3919.0,0.57,0.5126091675645542,0.06904710521146619,K,-1.2174437481370044,5
EPIC 201127519.01,k2,NON_HABITABLE,8.84,772.0,89.47093011093875,6.17887,0.0600325080017341,0.0,4719.28,0.849432,0.756,0.32244446548773387,K,-1.1642347153109598,3
EPIC 201164625.01,k2,NON_HABITABLE,4.34,2336.0,8891.89827764216,2.71189,0.04132294068966843,0.0,6402.0,3.16745,1.28,15.1836759194187,F,-1.295327353984077,3
EPIC 201166680.01,k2,NON_HABITABLE,2.09985108,803.1367886692227,98.40051180000985,18.10549,0.14304602115769255,0.0,6213.0,1.224685,1.1912069826187786,2.0134874267700504,F,-1.1710032577306821,5
EPIC 201170410.02,k2,NON_HABITABLE,1.047,458.12134632239423,10.417449208006975,6.7987,0.0349,0.0,3648.0,0.282,0.287,0.012688557309844575,M,-0.8829259090396049,3
EPIC 201176672.01,k2,HABITABILITY_ZONE,10.2,261.2668606847161,1.101987291198706,79.9999,0.2996518989268542,0.0,4542.0,0.508,0.5608576702150743,0.09894882796528952,K,0.002975948274349464,5
EPIC 201180665.01,k2,NON_HABITABLE,26.44,830.0,89.6986263988016,17.77297,0.13589865042833374,0.0,5847.0,1.25428,1.06,1.656593985709652,G,-1.164419770552639,3
EPIC 201182911.01,k2,NON_HABITABLE,32.8,949.5121034337183,192.23891140270968,0.99656225,0.015035417629930947,0.0,3727.0,0.5,0.4565812497370518,0.04345825561040775,K,-1.2105389555204995,5
EPIC 201231940.01,k2,NON_HABITABLE,3.35,1034.5221392512024,270.8934068563192,0.57303573,0.009994314816859116,0.0,3570.0,0.43,0.4055796176673274,0.027058547868668254,M,-1.2262044990383385,5
EPIC 201238163.01,k2,NON_HABITABLE,1.56,1000.1506644087286,236.64699247745747,1.0829614,0.016406966869647856,0.0,3875.0,0.56,0.5023881626385662,0.06370266357390861,K,-1.2203500098660711,5
EPIC 201274010.01,k2,NON_HABITABLE,2.43,713.0,51.461968172886586,13.0113,0.10529706184326025,0.0,5347.0,0.880221,0.92,0.570583091701352,G,-1.1178187017976207,3
EPIC 201299088.01,k2,NON_HABITABLE,9.11013939,758.7201102930662,78.37285360386944,21.204739,0.15866850557558324,0.0,5154.0,1.761722,1.1851867311755706,1.9730910320884236,K,-1.1542595443667814,5
EPIC 201352100.01,k2,NON_HABITABLE,2.7,608.0,24.36236474395339,13.38382,0.10491221558690432,0.0,5113.71,0.65973,0.86,0.2681461455039417,K,-1.0307104564660932,3
EPIC 201392505.01,k2,NON_HABITABLE,3.36,480.0,10.998614532305737,27.47083,0.16609225346336282,0.0,4947.03,0.749863,0.81,0.303414782872031,K,-0.8943607862356334,3
EPIC 201407812.01,k2,NON_HABITABLE,40.1,1271.6994686666624,618.5534557929543,2.8268121,0.03891375115655671,0.0,5736.0,0.98,0.9837751724948808,0.936663145022237,G,-1.2545270486890368,5
EPIC 201427007 b,k2,NON_HABITABLE,1.5,1941.2927608315294,3358.9490662779945,0.72091,0.015447314974717076,0.0,5633.0,0.94,0.9461878252538525,0.8015108808372381,G,-1.28616267327027,5
EPIC 201456770.01,k2,NON_HABITABLE,2.384,797.777274231612,95.80009086336165,8.006875,0.07573640609429401,0.0,5403.0,0.846,0.904,0.5495096285265801,G,-1.1691301713882256,4
EPIC 201488365.01,k2,NON_HABITABLE,85.6,1457.3343985093393,1066.7831374401385,3.3643115,0.04723374651991191,0.0,6240.0,1.32,1.2420675992514658,2.380021780412676,F,-1.267745723087144,5
EPIC 201497682.04,k2,NON_HABITABLE,1.06,909.7434429770816,162.0,3.883,1.0,0.0,5772.0,0.554,1.0,0.3069160000000001,G,1.1778629528522264,5
