name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,n_imputed
K00752.01,kepler,NON_HABITABLE,2.26,793.0,93.59,9.48803557,0.0853,0.0,5455.0,0.927,0.919,0.6855406284862429,G,-1.1679530439977164,1
K00752.02,kepler,NON_HABITABLE,2.83,443.0,9.11,54.4183827,0.2734,0.0,5455.0,0.927,0.919,0.6855406284862429,G,-0.8548418971836359,1
K00753.01,kepler,NON_HABITABLE,14.6,638.0,39.3,19.89913995,0.1419,0.0,5853.0,0.868,0.961,0.796614591599909,G,-1.0908220708937402,1
K00755.01,kepler,NON_HABITABLE,2.75,1406.0,926.16,2.525591777,0.0374,0.0,6031.0,1.046,1.095,1.3041135077208115,F,-1.2648055882471536,1
K00756.01,kepler,NON_HABITABLE,3.9,835.0,114.81,11.09432054,0.0992,0.0,6046.0,0.972,1.053,1.137364874046011,F,-1.1817433509262805,1
K00756.02,kepler,NON_HABITABLE,2.77,1160.0,427.65,4.13443512,0.0514,0.0,6046.0,0.972,1.053,1.137364874046011,F,-1.2435171517261379,1
K00756.03,kepler,NON_HABITABLE,1.59,1360.0,807.74,2.56658897,0.0374,0.0,6046.0,0.972,1.053,1.137364874046011,F,-1.2616098967302802,1
K00757.01,kepler,NON_HABITABLE,5.76,600.0,30.75,16.06864674,0.1158,0.0,5031.0,0.848,0.801,0.4150531212254443,K,-1.0622108359280389,1
K00001.01,kepler,NON_HABITABLE,13.04,1339.0,761.46,2.470613377,0.0354,0.0,5820.0,0.964,0.971,0.9605958735931772,G,-1.260162874763841,1
K00002.01,kepler,NON_HABITABLE,16.1,2048.0,4148.92,2.204735417,0.0376,0.0,6440.0,1.952,1.449,5.9046995798490975,F,-1.2886170844562048,1
K00010.01,kepler,NON_HABITABLE,14.59,1521.0,1264.67,3.522498429,0.0473,0.0,6225.0,1.451,1.132,2.8483080563706022,F,-1.2713161045559924,1
K00112.02,kepler,NON_HABITABLE,1.16,1206.0,500.46,3.709214104,0.0465,0.0,5833.0,1.022,0.974,1.0893423995360552,G,-1.2485393134977063,1
K00746.01,kepler,NON_HABITABLE,2.47,649.0,41.85,9.27358173,0.0759,0.0,4856.0,0.696,0.676,0.24267660007577785,K,-1.0975924475075074,1
K00747.01,kepler,NON_HABITABLE,2.85,678.0,50.04,6.02930329,0.0585,0.0,4537.0,0.672,0.761,0.17238853283599673,K,-1.1157528584340504,1
K00749.01,kepler,NON_HABITABLE,2.55,919.0,168.99,5.349553819,0.0563,0.0,5185.0,0.91,0.831,0.5392281273041383,K,-1.2042741632057157,1
K00749.02,kepler,NON_HABITABLE,1.7,1018.0,253.15,3.94105221,0.046,0.0,5185.0,0.91,0.831,0.5392281273041383,K,-1.2236061855410847,1
K00749.03,kepler,NON_HABITABLE,1.3,800.0,97.03,8.10904807,0.0743,0.0,5185.0,0.91,0.831,0.5392281273041383,K,-1.1704900465031285,1
K00750.01,kepler,NON_HABITABLE,2.95,530.0,18.64,21.67699193,0.1408,0.0,4954.0,0.828,0.791,0.37203122555357415,K,-0.9917879785489339,1
K00751.01,kepler,NON_HABITABLE,2.78,917.0,166.95,4.99677968,0.0559,0.0,5339.0,0.847,0.931,0.5251715781630232,G,-1.2036300887936375,1
K00769.01,kepler,NON_HABITABLE,2.3,1012.0,247.87,4.280963604,0.0503,0.0,5644.0,0.831,0.928,0.6313130665748952,G,-1.2226920682583209,1
K00773.01,kepler,NON_HABITABLE,2.82,529.0,18.53,38.3775486,0.2163,0.0,5481.0,1.036,0.915,0.8726767979180788,G,-0.9908218193838974,1
K00757.02,kepler,NON_HABITABLE,3.86,439.0,8.76,41.19725502,0.217,0.0,5031.0,0.848,0.801,0.4150531212254443,K,-0.8457122805024939,1
K00757.03,kepler,NON_HABITABLE,2.65,823.0,108.3,6.252962249,0.0617,0.0,5031.0,0.848,0.801,0.4150531212254443,K,-1.1779477119015764,1
K00758.01,kepler,NON_HABITABLE,3.1,593.0,29.31,16.01308419,0.1148,0.0,5015.0,0.826,0.785,0.38881100999313445,K,-1.0561975254682041,1
K00759.01,kepler,NON_HABITABLE,3.36,506.0,15.55,32.62876672,0.1889,0.0,5586.0,0.798,0.844,0.5586042279766418,G,-0.9616010998534165,1
K00759.02,kepler,HABITABILITY_ZONE,2.12,359.0,3.92,91.7732862,0.3764,0.0,5586.0,0.798,0.844,0.5586042279766418,G,-0.6158405061366664,1
K00760.01,kepler,NON_HABITABLE,12.21,1103.0,349.4,4.959319244,0.0565,0.0,5712.0,1.082,0.976,1.1227990252366906,G,-1.236454130854365,1
K00762.01,kepler,NON_HABITABLE,2.1,1133.0,389.62,4.49876511,0.0542,0.0,6075.0,0.969,1.048,1.1521987334575932,F,-1.2403509553341956,1
K00115.01,kepler,NON_HABITABLE,2.94,1093.0,337.68,5.412203927,0.0591,0.0,5779.0,1.087,0.941,1.1873112322490365,G,-1.2351898737403657,1
K00764.01,kepler,NON_HABITABLE,5.5,516.0,16.72,41.43958662,0.2288,0.0,5468.0,1.046,0.93,0.8811951597048204,G,-0.9740152978087684,1
K00765.01,kepler,NON_HABITABLE,2.52,790.0,91.9,8.35389523,0.0768,0.0,5592.0,0.787,0.862,0.5456483245150097,G,-1.1666483387862383,1
K00766.01,kepler,NON_HABITABLE,4.43,1243.0,565.35,4.125543472,0.0529,0.0,6174.0,1.103,1.162,1.5926202585979068,F,-1.2521702440719118,1
K00767.01,kepler,NON_HABITABLE,12.21,1219.0,521.13,2.816504904,0.0383,0.0,5532.0,0.955,0.941,0.7695381221773845,G,-1.2497692126222348,1
K00786.01,kepler,NON_HABITABLE,1.89,1147.0,408.99,3.689920099,0.0469,0.0,5880.0,0.917,1.01,0.9056130788398433,G,-1.2420186565251736,1
K00787.01,kepler,NON_HABITABLE,3.25,1104.0,351.23,4.431238488,0.0529,0.0,5714.0,1.015,1.007,0.9894360709796721,G,-1.236646046029288,1
