rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,habitability_class,radius_similarity,insol_similarity,temp_similarity,in_hz_conservative,is_rocky,is_earth_sized,pl_orbper_log,pl_insol_log,depth_duration_ratio,tmag_bright
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.580465,,,-05d30m49.87s,-5.513852,,,-4.956,0.102,-0.102,0.0,1.0,-15.555,0.072,-0.072,0.0,1.0,2459987.948873,0.001916,-0.001916,0,1,1.9316462,5.3e-06,-5.3e-06,0,1,3.166,0.647,-0.647,0,1,1286.0,1186.49,-1186.49,0,1,11.2154,2.6242,-2.6242,0,1,44464.5,,,,,4045.0,,,,,9.42344,0.006,-0.006,0,1,295.862,5.91,-5.91,0,1,7070.0,126.4,-126.4,0,1,4.03,0.09,-0.09,0,1,2.01,0.09,-0.09,0,1,2019-07-24 15:58:33,2023-04-03 14:31:04,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.0755641082577023,10.702468886569799,406.19064870794415,1
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.752393,,,-04d27m48.09s,-4.463359,,,0.357,0.058,-0.058,0.0,1.0,3.399,0.045,-0.045,0.0,1.0,2459247.930695,0.0013,-0.0013,0,1,6.9989206,1.37e-05,-1.37e-05,0,1,3.953,0.437,-0.437,0,1,2840.0,0.943618,-0.943618,0,1,14.7752,0.764705,-0.764705,0,1,448.744,,,,,1282.0,,,,,8.87759,0.006,-0.006,0,1,283.291,3.0025,-3.0025,0,1,6596.0,139.2,-139.2,0,1,3.71,0.09,-0.09,0,1,2.7,0.13,-0.13,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15,NON_HABITABLE,0.0,0.0,0.0,0,0,0,2.079306607576639,6.108678531996795,718.4415081099145,1
13,1011.01,1011,114018671,114018671.01,1,PC,07h35m56.34s,113.984761,,,-32d50m31.2s,-32.841999,,,145.102,0.046,-0.046,0.0,1.0,-134.901,0.052,-0.052,0.0,1.0,2459984.627768,0.002619,-0.002619,0,1,2.4704981,7.3e-06,-7.3e-06,0,1,2.191,0.482,-0.482,0,1,250.0,18.1279,-18.1279,0,1,1.44656,0.107503,-0.107503,0,1,575.597,,,,,1364.0,,,,,8.2388,0.006,-0.006,0,1,52.62,0.0793,-0.0793,0,1,5413.7,132.8,-132.8,0,1,4.46,0.09,-0.09,0,1,0.94,0.05,-0.05,0,1,2019-07-24 15:58:33,2023-03-22 16:02:02,NON_HABITABLE,0.955344,0.0,0.0,0,1,0,1.2442981283258057,6.357143582277135,114.10309716882831,1
21,1019.01,1019,341420329,341420329.01,1,PC,08h00m35.52s,120.147994,,,-54d52m42.79s,-54.878552,,,-11.732,0.047,-0.047,0.0,1.0,2.586,0.061,-0.061,0.0,1.0,2459232.446864,0.00012,-0.00012,0,1,5.2341008,1.2e-06,-1.2e-06,0,1,3.7078139,0.0125204,-0.0125204,0,1,20796.9416293,50.80361,-50.80361,0,1,24.2931408,0.7497171,-0.7497171,0,1,1453.6663847,,,,,1574.8381848,,,,,10.6348,0.006,-0.006,0,1,399.544,4.1635,-4.1635,0,1,7645.0,134.4,-134.4,0,1,4.3,0.08,-0.08,0,1,1.56203,0.0481257,-0.0481257,0,1,2019-07-24 17:08:12,2024-02-16 10:08:02,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.8300343506080698,7.282531864448902,5608.9481784271375,0
30,1027.01,1027,20318757,20318757.01,1,PC,11h08m31.99s,167.133275,,,-29d39m11.29s,-29.653135,,,-87.554,0.073,-0.073,0.0,1.0,12.992,0.057,-0.057,0.0,1.0,2460037.86905,0.001406,-0.001406,0,1,3.2834565,4.6e-06,-4.6e-06,0,1,1.537,0.709,-0.709,0,1,1558.0,185.42,-185.42,0,1,2.87648,0.314177,-0.314177,0,1,161.092,,,,,992.0,,,,,10.2103,0.006,-0.006,0,1,56.3449,0.13245,-0.13245,0,1,4272.0,122.7,-122.7,0,1,4.6,0.11,-0.11,0,1,0.68,0.06,-0.06,0,1,2019-07-24 18:44:12,2023-06-05 12:03:22,NON_HABITABLE,0.812352,0.0,0.0,0,0,0,1.454760277123519,5.088164075272071,1013.6623203237995,0
31,1027.02,1027,20318757,20318757.02,2,PC,11h08m31.99s,167.133275,,,-29d39m11.29s,-29.653135,,,-87.554,0.073,-0.073,0.0,1.0,12.992,0.057,-0.057,0.0,1.0,2460032.53325,0.002913,-0.002913,0,1,11.02875,3.54e-05,-3.54e-05,0,1,2.715,0.404,-0.404,0,1,1694.0,104.432,-104.432,0,1,2.76586,0.268927,-0.268927,0,1,15.0463,,,,,548.0,,,,,10.2103,0.006,-0.006,0,1,56.3449,0.13245,-0.13245,0,1,4272.0,122.7,-122.7,0,1,4.6,0.11,-0.11,0,1,0.68,0.06,-0.06,0,1,2021-06-03 22:37:59,2024-09-01 12:02:56,NON_HABITABLE,0.823414,0.0,0.41400000000000003,0,0,0,2.4872996176884734,2.7754782934049778,623.9408383274997,0
32,1027.03,1027,20318757,20318757.03,3,PC,11h08m31.99s,167.133275,,,-29d39m11.29s,-29.653135,,,-87.554,0.073,-0.073,0.0,1.0,12.992,0.057,-0.057,0.0,1.0,2460032.57304,0.002567,-0.002567,0,1,5.0113292,1.2e-05,-1.2e-05,0,1,1.024,0.471,-0.471,0,1,1210.0,182.035,-182.035,0,1,2.52314,0.302798,-0.302798,0,1,17.1793,,,,,567.0,,,,,10.2103,0.006,-0.006,0,1,56.3449,0.13245,-0.13245,0,1,4272.0,122.7,-122.7,0,1,4.6,0.11,-0.11,0,1,0.68,0.06,-0.06,0,1,2023-05-18 23:08:27,2023-06-05 12:03:22,NON_HABITABLE,0.8476859999999999,0.0,0.376,0,0,0,1.7936458888192612,2.9002835841576555,1181.639471055204,0
38,1032.01,1032,146589986,146589986.01,1,PC,10h36m53.16s,159.221506,,,-42d32m29.9s,-42.541639,,,-15.15,0.072,-0.072,0.0,1.0,6.437,0.087,-0.087,0.0,1.0,2459283.828685,0.000897,-0.000897,0,1,5.6643704,1.09e-05,-1.09e-05,0,1,3.8087395,0.0887935,-0.0887935,0,1,3491.8232968,95.25267,-95.25267,0,1,14.7738943,0.7471176,-0.7471176,0,1,7657.6621505,,,,,2385.8536488,,,,,9.7611,0.006,-0.006,0,1,587.196,18.7865,-18.7865,0,1,10395.0,320.6,-320.6,0,1,4.13,0.07,-0.07,0,1,2.3383701,0.109357,-0.109357,0,1,2019-07-24 18:44:12,2024-01-17 10:08:02,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.8967754855527996,8.943592593499131,916.7921250607649,1
41,1035.01,1035,361413119,361413119.01,1,PC,09h36m36.07s,144.150273,,,-61d34m59.46s,-61.583182,,,-9.506,0.239,-0.239,0.0,1.0,16.897,0.207,-0.207,0.0,1.0,2459286.872605,0.000437,-0.000437,0,1,6.0744477,5.9e-06,-5.9e-06,0,1,2.4954821,0.0518881,-0.0518881,0,1,5982.5212406,93.93912,-93.93912,0,1,30.9493217,11.697444,-11.697444,0,1,1487.5644344,,,,,1583.9398898,,,,,10.1126,0.006,-0.006,0,1,347.556,13.63,-13.63,0,1,5964.0,128.4,-128.4,0,1,3.7,0.09,-0.09,0,1,2.4303801,0.151568,-0.151568,0,1,2019-07-24 18:44:12,2025-07-09 16:00:02,NON_HABITABLE,0.0,0.0,0.0,0,0,0,1.9564893768779394,7.305567467661351,2397.339914103205,0
42,1036.01,1036,146172354,146172354.01,1,PC,10h31m28.11s,157.867112,,,-42d14m25.61s,-42.240448,,,10.992,0.037,-0.037,0.0,1.0,-57.748,0.049,-0.049,0.0,1.0,2460037.172273,0.001095,-0.001095,0,1,3.7795212,4e-06,-4e-06,0,1,2.952,0.158,-0.158,0,1,2761.0,60.2474,-60.2474,0,1,5.98375,0.311897,-0.311897,0,1,466.528,,,,,1294.0,,,,,10.2855,0.006,-0.006,0,1,184.015,0.962,-0.962,0,1,5771.0,132.3,-132.3,0,1,4.31,0.08,-0.08,0,1,1.18,0.06,-0.06,0,1,2019-07-24 18:44:12,2023-05-05 16:02:01,NON_HABITABLE,0.501625,0.0,0.0,0,0,0,1.5643403741222623,6.147459239983353,935.2977861457364,0
