Model Set,observables_withheld,n_objects,model_accuracy,model_macro_f1,rule_accuracy,rule_undefined_rate
unified,0,11378,0.9999,0.9997,1.0,0.0
unified,1,11378,0.997,0.9741,0.7246,0.2747
unified,2,11378,0.9938,0.9467,0.4121,0.5871
unified,3,11378,0.986,0.8999,0.1703,0.8296
unified,4,11239,0.9755,0.8394,0.0481,0.9518
k2,0,854,0.9988,0.9776,1.0,0.0
k2,1,854,0.9754,0.8368,0.3841,0.6148
k2,2,854,0.9801,0.8208,0.1885,0.8115
k2,3,854,0.9438,0.7475,0.0749,0.9251
k2,4,724,0.8329,0.5663,0.0069,0.9931
kepler,0,4619,1.0,1.0,1.0,0.0
kepler,1,4619,0.9968,0.9739,0.8772,0.1228
kepler,2,4619,0.9946,0.9582,0.6423,0.3577
kepler,3,4619,0.9885,0.9192,0.3382,0.6616
kepler,4,4619,0.9621,0.8268,0.116,0.8835
tess,0,5905,1.0,1.0,1.0,0.0
tess,1,5905,0.9993,0.9959,0.6633,0.335
tess,2,5905,0.9964,0.9227,0.2581,0.7401
tess,3,5905,0.9917,0.8784,0.0479,0.9521
tess,4,5896,0.9715,0.6065,0.0,1.0
