Model Set,class,precision,recall,f1,support,average_precision
unified,HABITABILITY_ZONE,0.981,0.9889,0.9849,628,0.9981
unified,NON_HABITABLE,0.9995,0.9993,0.9994,10624,1.0
unified,POTENTIALLY_HABITABLE,0.9756,0.9524,0.9639,126,0.9918
k2,HABITABILITY_ZONE,0.871,0.75,0.806,36,0.8938
k2,NON_HABITABLE,0.9902,0.9988,0.9945,811,0.9999
k2,POTENTIALLY_HABITABLE,0.6,0.4286,0.5,7,0.5441
kepler,HABITABILITY_ZONE,0.9884,0.993,0.9907,428,0.9996
kepler,NON_HABITABLE,0.9998,0.9995,0.9996,4082,1.0
kepler,POTENTIALLY_HABITABLE,0.9815,0.9725,0.977,109,0.9964
tess,HABITABILITY_ZONE,0.9639,0.9756,0.9697,164,0.9948
tess,NON_HABITABLE,0.9995,0.9993,0.9994,5731,1.0
tess,POTENTIALLY_HABITABLE,0.8889,0.8,0.8421,10,0.9433
